settlement_id,true_bank_transaction_id,true_status,true_exception_type,expected_decision
SET_1001,BTX_001,MATCHED,SETTLEMENT_DELAY,MATCH
SET_1002,BTX_002,EXCEPTION,FEE_MISMATCH,EXCEPTION
SET_1003,BTX_003,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION
SET_1004,BTX_004,EXCEPTION,DUPLICATE_CREDIT,EXCEPTION
SET_1005,BTX_006,MATCHED,MISSING_REFERENCE,MATCH
SET_1007,,UNMATCHED,NO_MATCH,NO_MATCH
SET_1008,BTX_007,MATCHED,PERFECT_MATCH,MATCH
SET_1009,BTX_008,MATCHED,SETTLEMENT_DELAY,MATCH
SET_1010,BTX_009,EXCEPTION,FEE_MISMATCH,EXCEPTION
SET_1011,BTX_010,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION
SET_1012,BTX_011,EXCEPTION,DUPLICATE_CREDIT,EXCEPTION
SET_1013,BTX_013,MATCHED,MISSING_REFERENCE,MATCH
SET_1015,,UNMATCHED,NO_MATCH,NO_MATCH
SET_1016,BTX_014,MATCHED,PERFECT_MATCH,MATCH
SET_1017,BTX_015,MATCHED,SETTLEMENT_DELAY,MATCH
SET_1018,BTX_016,EXCEPTION,FEE_MISMATCH,EXCEPTION
SET_1019,BTX_017,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION
SET_1020,BTX_018,EXCEPTION,DUPLICATE_CREDIT,EXCEPTION
SET_1021,BTX_020,MATCHED,MISSING_REFERENCE,MATCH
SET_1023,,UNMATCHED,NO_MATCH,NO_MATCH
SET_1024,BTX_021,MATCHED,PERFECT_MATCH,MATCH
SET_1025,BTX_022,MATCHED,SETTLEMENT_DELAY,MATCH
SET_1026,BTX_023,EXCEPTION,FEE_MISMATCH,EXCEPTION
SET_1027,BTX_024,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION
SET_1028,BTX_025,EXCEPTION,DUPLICATE_CREDIT,EXCEPTION
SET_1029,BTX_027,MATCHED,MISSING_REFERENCE,MATCH
SET_1031,,UNMATCHED,NO_MATCH,NO_MATCH
SET_1032,BTX_028,MATCHED,PERFECT_MATCH,MATCH
SET_1033,BTX_029,MATCHED,SETTLEMENT_DELAY,MATCH
SET_1034,BTX_030,EXCEPTION,FEE_MISMATCH,EXCEPTION
SET_1035,BTX_031,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION
SET_1036,BTX_032,EXCEPTION,DUPLICATE_CREDIT,EXCEPTION
SET_1037,BTX_034,MATCHED,MISSING_REFERENCE,MATCH
SET_1039,,UNMATCHED,NO_MATCH,NO_MATCH
SET_1040,BTX_035,MATCHED,PERFECT_MATCH,MATCH
SET_1041,BTX_036,MATCHED,SETTLEMENT_DELAY,MATCH
SET_1042,BTX_037,EXCEPTION,FEE_MISMATCH,EXCEPTION
SET_1043,BTX_038,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION
SET_1044,BTX_039,EXCEPTION,DUPLICATE_CREDIT,EXCEPTION
SET_1045,BTX_041,MATCHED,MISSING_REFERENCE,MATCH
SET_1006,BTX_042,ABSTAINED,AMBIGUOUS_MATCH,ABSTAIN
SET_1014,BTX_042,ABSTAINED,AMBIGUOUS_MATCH,ABSTAIN
